Water Source Type,Contaminant Level (ppm),pH Level,Turbidity (NTU),Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Bacteria Count (CFU/mL),Fecal Coliform,Total Coliform,Temperature,Diarrheal Cases Likelihood (%),Cholera Cases Likelihood (%),Typhoid Cases Likelihood (%)
River,19.68,7.7,4.998357076505616,8.5,0.735,8600.0,86.0,301.5,13.0,7.098917442232673,9.31144472589437,8.206592957007306
Well,17.13,7.3,4.680867849414407,8.3,1.095,85500.0,855.0,1260.0,7.5,43.322613076243385,37.917635786392125,40.645329748087526
Pond,16.95,7.25,5.073844269050346,8.3,0.7,85500.0,855.0,975.0,7.5,47.909329339831686,41.85777065478376,40.63095860985628
Pond,9.89,7.15,3.261514928204013,8.4,1.03,6600.0,66.0,309.5,8.0,17.953307377024796,17.188377439128306,18.706745319518404
Spring,9.64,7.4,2.382923312638332,8.45,0.645,7150.0,71.5,270.0,7.5,14.532077260931986,12.002845838941166,13.006016561733947
Well,9.72,7.25,2.3829315215254097,8.15,0.61,13450.0,134.5,580.0,10.0,16.712728160127224,14.939818050384224,20.406661173168786
River,12.83,7.15,4.039606407753696,8.0,0.64,9850.0,98.5,600.0,10.0,16.510521459920703,7.769743932307156,26.58774363721077
River,12.61,7.6,3.6337173645764542,7.95,1.485,32500.0,325.0,1070.0,10.0,25.094331312007903,21.293963335282186,29.592354917560503
Lake,9.9,7.7,2.265262807032524,7.8,0.545,15700.0,157.0,885.0,10.5,16.220411632781058,19.60422443341812,18.178141927001683
Well,10.7,7.7,2.7712800217929825,8.65,0.69,5050.0,50.5,250.0,17.5,12.213531009348394,15.026682654872824,14.193573501435576
Pond,10.63,7.65,2.268291153593769,8.65,0.735,7550.0,75.5,565.0,17.0,12.511405662570589,15.597146185569256,14.19409555560776
Well,11.76,7.5,2.267135123214872,8.6,0.635,5550.0,55.5,206.5,19.0,9.152027729361585,12.909914317652206,21.278399662476875
Well,10.7,7.6,2.6209811357830173,8.5,0.65,5850.0,58.5,275.0,15.5,11.009436408478887,12.849578861258587,12.116277319617788
Spring,10.75,7.5,1.543359877671101,8.7,2.905,16050.0,160.5,910.0,16.5,12.746127723555716,16.765932573956395,22.346442884862388
Lake,18.83,7.8,1.6375410837434836,8.85,2.595,2350.0,23.5,4635.0,17.5,13.526431928954482,17.538679675150668,17.411352104596702
Spring,13.650000000000002,8.0,2.468856235379514,8.05,1.415,4750.0,47.5,2719.5,18.0,9.233983014076289,15.377903890371108,13.564595243774798
Lake,12.14,8.0,1.993584439832788,8.65,1.99,4000.0,40.0,2810.0,13.0,9.441798787425244,16.286068994601848,9.711606917066398
Tap,12.22,7.8,2.657123666297637,8.65,1.8,3500.0,35.0,2785.0,14.0,13.688358475386543,11.579051280289224,17.965432185937086
Pond,12.93,7.7,2.0459879622393946,7.95,2.175,5600.0,56.0,2720.0,18.5,19.41929037959492,6.016183661498386,17.25521623443044
Lake,35.25,7.85,6.543848149332354,8.35,1.455,350.0,3.5,93.5,21.5,14.887181061931749,16.90924443363383,17.396818336797974
Pond,26.14,7.6,6.482824384460777,8.2,1.72,350.0,3.5,118.5,21.45,6.142441659997789,10.682103217274118,12.462372339656907
Pond,48.010000000000005,7.85,4.6371118497567325,7.8,0.735,500.0,5.0,93.5,21.3,6.863285446988007,7.707900714622005,20.08833557316017
Well,23.73,7.8,5.533764102343962,8.35,0.74,500.0,5.0,80.5,21.75,13.876003663614686,14.158537908647206,9.255672572606672
Pond,9.9,7.5,1.7876259068932716,8.25,0.64,9350.0,93.5,570.0,9.0,9.593996647387495,12.302647631361143,25.260943625840927
